[2017-05-03 21:42:10,039] INFO: Run GoogleQuerySpellingChecker
[2017-05-03 21:42:13,704] INFO: Save to ../Data/Clean/all.lemmatized.csv.pkl
[2017-05-03 21:42:13,953] INFO: Save to ../Data/Clean/all.lemmatized.stemmed.csv.pkl
[2017-05-03 21:47:30,401] INFO: Run GoogleQuerySpellingChecker
[2017-05-03 21:47:34,304] INFO: Save to ../Data/Clean/all.lemmatized.csv.pkl
[2017-05-03 21:47:34,558] INFO: Save to ../Data/Clean/all.lemmatized.stemmed.csv.pkl
[2017-05-03 22:18:09,026] INFO: DocLen_question1_1D (1D): corr = -0.169854
[2017-05-03 22:18:09,032] INFO: DocLen_question2_1D (1D): corr = -0.201368
[2017-05-03 22:43:46,227] INFO: DocId_question1_1D (1D): corr = -0.046699
[2017-05-03 22:43:46,232] INFO: DocId_question2_1D (1D): corr = 0.005746
[2017-05-03 22:43:46,236] INFO: DocLen_question1_1D (1D): corr = -0.169854
[2017-05-03 22:43:46,239] INFO: DocLen_question2_1D (1D): corr = -0.201368
[2017-05-03 22:43:46,245] INFO: DocFreq_question1_1D (1D): corr = -0.035047
[2017-05-03 22:43:46,247] INFO: DocFreq_question2_1D (1D): corr = 0.099240
[2017-05-03 22:43:46,281] INFO: DocEntropy_question1_1D (1D): corr = -0.139700
[2017-05-03 22:43:46,314] INFO: DocEntropy_question2_1D (1D): corr = -0.161954
[2017-05-03 22:43:46,317] INFO: DigitCount_question1_1D (1D): corr = -0.022047
[2017-05-03 22:43:46,321] INFO: DigitCount_question2_1D (1D): corr = -0.010189
[2017-05-03 22:43:46,327] INFO: DigitRatio_question1_1D (1D): corr = -0.011338
[2017-05-03 22:43:46,332] INFO: DigitRatio_question2_1D (1D): corr = 0.013177
[2017-05-03 22:47:43,951] INFO: DocId_question1_1D (1D): corr = -0.046699
[2017-05-03 22:47:43,957] INFO: DocId_question2_1D (1D): corr = 0.005746
[2017-05-03 22:47:43,960] INFO: DocLen_question1_1D (1D): corr = -0.169854
[2017-05-03 22:47:43,963] INFO: DocLen_question2_1D (1D): corr = -0.201368
[2017-05-03 22:47:43,964] INFO: DocFreq_question1_1D (1D): corr = -0.035047
[2017-05-03 22:47:43,966] INFO: DocFreq_question2_1D (1D): corr = 0.099240
[2017-05-03 22:47:44,004] INFO: DocEntropy_question1_1D (1D): corr = -0.139700
[2017-05-03 22:47:44,041] INFO: DocEntropy_question2_1D (1D): corr = -0.161954
[2017-05-03 22:47:44,045] INFO: DigitCount_question1_1D (1D): corr = -0.022047
[2017-05-03 22:47:44,048] INFO: DigitCount_question2_1D (1D): corr = -0.010189
[2017-05-03 22:47:44,054] INFO: DigitRatio_question1_1D (1D): corr = -0.011338
[2017-05-03 22:47:44,060] INFO: DigitRatio_question2_1D (1D): corr = 0.013177
[2017-05-03 22:48:57,837] INFO: DocId_question1_1D (1D): corr = -0.046699
[2017-05-03 22:48:57,839] INFO: DocId_question2_1D (1D): corr = 0.005746
[2017-05-03 22:48:57,843] INFO: DocLen_question1_1D (1D): corr = -0.169854
[2017-05-03 22:48:57,846] INFO: DocLen_question2_1D (1D): corr = -0.201368
[2017-05-03 22:48:57,849] INFO: DocFreq_question1_1D (1D): corr = -0.035047
[2017-05-03 22:48:57,851] INFO: DocFreq_question2_1D (1D): corr = 0.099240
[2017-05-03 22:48:57,886] INFO: DocEntropy_question1_1D (1D): corr = -0.139700
[2017-05-03 22:48:57,919] INFO: DocEntropy_question2_1D (1D): corr = -0.161954
[2017-05-03 22:48:57,922] INFO: DigitCount_question1_1D (1D): corr = -0.022047
[2017-05-03 22:48:57,925] INFO: DigitCount_question2_1D (1D): corr = -0.010189
[2017-05-03 22:48:57,930] INFO: DigitRatio_question1_1D (1D): corr = -0.011338
[2017-05-03 22:48:57,936] INFO: DigitRatio_question2_1D (1D): corr = 0.013177
[2017-05-03 22:48:57,941] INFO: UniqueCount_Unigram_question1_1D (1D): corr = -0.158032
[2017-05-03 22:48:57,946] INFO: UniqueCount_Unigram_question2_1D (1D): corr = -0.199103
[2017-05-03 22:48:57,968] INFO: UniqueCount_Bigram_question1_1D (1D): corr = -0.169126
[2017-05-03 22:48:57,986] INFO: UniqueCount_Bigram_question2_1D (1D): corr = -0.201712
[2017-05-03 22:48:58,010] INFO: UniqueCount_Trigram_question1_1D (1D): corr = -0.169459
[2017-05-03 22:48:58,039] INFO: UniqueCount_Trigram_question2_1D (1D): corr = -0.201505
[2017-05-03 22:48:58,045] INFO: UniqueRatio_Unigram_question1_1D (1D): corr = 0.141863
[2017-05-03 22:48:58,053] INFO: UniqueRatio_Unigram_question2_1D (1D): corr = 0.121621
[2017-05-03 22:48:58,075] INFO: UniqueRatio_Bigram_question1_1D (1D): corr = 0.060261
[2017-05-03 22:48:58,097] INFO: UniqueRatio_Bigram_question2_1D (1D): corr = 0.051656
[2017-05-03 22:48:58,123] INFO: UniqueRatio_Trigram_question1_1D (1D): corr = 0.042521
[2017-05-03 22:48:58,151] INFO: UniqueRatio_Trigram_question2_1D (1D): corr = 0.028997
[2017-05-03 22:49:29,626] INFO: DocId_question1_1D (1D): corr = -0.046699
[2017-05-03 22:49:29,631] INFO: DocId_question2_1D (1D): corr = 0.005746
[2017-05-03 22:49:29,634] INFO: DocLen_question1_1D (1D): corr = -0.169854
[2017-05-03 22:49:29,637] INFO: DocLen_question2_1D (1D): corr = -0.201368
[2017-05-03 22:49:29,639] INFO: DocFreq_question1_1D (1D): corr = -0.035047
[2017-05-03 22:49:29,641] INFO: DocFreq_question2_1D (1D): corr = 0.099240
[2017-05-03 22:49:29,673] INFO: DocEntropy_question1_1D (1D): corr = -0.139700
[2017-05-03 22:49:29,706] INFO: DocEntropy_question2_1D (1D): corr = -0.161954
[2017-05-03 22:49:29,710] INFO: DigitCount_question1_1D (1D): corr = -0.022047
[2017-05-03 22:49:29,713] INFO: DigitCount_question2_1D (1D): corr = -0.010189
[2017-05-03 22:49:29,718] INFO: DigitRatio_question1_1D (1D): corr = -0.011338
[2017-05-03 22:49:29,723] INFO: DigitRatio_question2_1D (1D): corr = 0.013177
[2017-05-03 22:49:29,728] INFO: UniqueCount_Unigram_question1_1D (1D): corr = -0.158032
[2017-05-03 22:49:29,733] INFO: UniqueCount_Unigram_question2_1D (1D): corr = -0.199103
[2017-05-03 22:49:29,751] INFO: UniqueCount_Bigram_question1_1D (1D): corr = -0.169126
[2017-05-03 22:49:29,772] INFO: UniqueCount_Bigram_question2_1D (1D): corr = -0.201712
[2017-05-03 22:49:29,801] INFO: UniqueCount_Trigram_question1_1D (1D): corr = -0.169459
[2017-05-03 22:49:29,832] INFO: UniqueCount_Trigram_question2_1D (1D): corr = -0.201505
[2017-05-03 22:49:29,838] INFO: UniqueRatio_Unigram_question1_1D (1D): corr = 0.141863
[2017-05-03 22:49:29,847] INFO: UniqueRatio_Unigram_question2_1D (1D): corr = 0.121621
[2017-05-03 22:49:29,868] INFO: UniqueRatio_Bigram_question1_1D (1D): corr = 0.060261
[2017-05-03 22:49:29,891] INFO: UniqueRatio_Bigram_question2_1D (1D): corr = 0.051656
