[2017-05-06 12:05:17,706] INFO: StatCoocNormTFIDF_Unigram_Mean_question1_x_question2_1D (1D): corr = 0.295594
[2017-05-06 12:05:18,178] INFO: StatCoocNormTFIDF_Unigram_Std_question1_x_question2_1D (1D): corr = 0.164570
[2017-05-06 12:05:18,472] INFO: StatCoocNormTFIDF_Unigram_Max_question1_x_question2_1D (1D): corr = 0.137759
[2017-05-06 12:05:18,757] INFO: StatCoocNormTFIDF_Unigram_Min_question1_x_question2_1D (1D): corr = -0.107072
[2017-05-06 12:05:19,188] INFO: StatCoocNormTFIDF_Unigram_Median_question1_x_question2_1D (1D): corr = 0.258865
[2017-05-06 13:06:02,024] INFO: StatCoocNormTFIDF_Bigram_Mean_question1_x_question2_1D (1D): corr = 0.285804
[2017-05-06 13:06:02,243] INFO: StatCoocNormTFIDF_Bigram_Std_question1_x_question2_1D (1D): corr = 0.265333
[2017-05-06 13:06:02,435] INFO: StatCoocNormTFIDF_Bigram_Max_question1_x_question2_1D (1D): corr = 0.259096
[2017-05-06 13:06:02,617] INFO: StatCoocNormTFIDF_Bigram_Min_question1_x_question2_1D (1D): corr = 0.061586
[2017-05-06 13:06:02,803] INFO: StatCoocNormTFIDF_Bigram_Median_question1_x_question2_1D (1D): corr = 0.190102
[2017-05-06 19:33:27,947] INFO: StatCoocNormTFIDF_Trigram_Mean_question1_x_question2_1D (1D): corr = 0.220760
[2017-05-06 19:33:28,967] INFO: StatCoocNormTFIDF_Trigram_Std_question1_x_question2_1D (1D): corr = 0.241494
[2017-05-06 19:33:29,511] INFO: StatCoocNormTFIDF_Trigram_Max_question1_x_question2_1D (1D): corr = 0.249707
[2017-05-06 19:33:29,935] INFO: StatCoocNormTFIDF_Trigram_Min_question1_x_question2_1D (1D): corr = 0.051202
[2017-05-06 19:33:30,427] INFO: StatCoocNormTFIDF_Trigram_Median_question1_x_question2_1D (1D): corr = 0.136287
[2017-05-07 06:42:35,890] INFO: StatCoocNormTFIDF_Unigram_Mean_question2_x_question1_1D (1D): corr = 0.296616
[2017-05-07 06:42:36,239] INFO: StatCoocNormTFIDF_Unigram_Std_question2_x_question1_1D (1D): corr = 0.166922
[2017-05-07 06:42:36,468] INFO: StatCoocNormTFIDF_Unigram_Max_question2_x_question1_1D (1D): corr = 0.139823
[2017-05-07 06:42:36,675] INFO: StatCoocNormTFIDF_Unigram_Min_question2_x_question1_1D (1D): corr = -0.113094
[2017-05-07 06:42:36,962] INFO: StatCoocNormTFIDF_Unigram_Median_question2_x_question1_1D (1D): corr = 0.261600
[2017-05-07 07:20:24,389] INFO: StatCoocNormTFIDF_Bigram_Mean_question2_x_question1_1D (1D): corr = 0.286390
[2017-05-07 07:20:24,655] INFO: StatCoocNormTFIDF_Bigram_Std_question2_x_question1_1D (1D): corr = 0.271062
[2017-05-07 07:20:24,864] INFO: StatCoocNormTFIDF_Bigram_Max_question2_x_question1_1D (1D): corr = 0.264772
[2017-05-07 07:20:25,081] INFO: StatCoocNormTFIDF_Bigram_Min_question2_x_question1_1D (1D): corr = 0.062044
[2017-05-07 07:20:25,288] INFO: StatCoocNormTFIDF_Bigram_Median_question2_x_question1_1D (1D): corr = 0.188048
[2017-05-07 09:01:50,034] INFO: StatCoocNormTFIDF_Trigram_Mean_question2_x_question1_1D (1D): corr = 0.221461
[2017-05-07 09:01:50,561] INFO: StatCoocNormTFIDF_Trigram_Std_question2_x_question1_1D (1D): corr = 0.247249
[2017-05-07 09:01:50,863] INFO: StatCoocNormTFIDF_Trigram_Max_question2_x_question1_1D (1D): corr = 0.255975
[2017-05-07 09:01:51,152] INFO: StatCoocNormTFIDF_Trigram_Min_question2_x_question1_1D (1D): corr = 0.051791
[2017-05-07 09:01:51,399] INFO: StatCoocNormTFIDF_Trigram_Median_question2_x_question1_1D (1D): corr = 0.133204
