[2017-05-07 23:27:08,801] INFO: Run for basic...
[2017-05-07 23:27:09,018] INFO: Drop: CharDistribution_CosineSim_question1_x_question1_1D (1D) (abs corr = 0.006431223288134842, < threshold = 0.05)
[2017-05-07 23:27:09,159] INFO: Combine   1/218 feat: CharDistribution_CosineSim_question1_x_question2_1D (1D) (corr = 0.3003687630268351)
[2017-05-07 23:27:09,299] INFO: Combine   2/218 feat: CharDistribution_CosineSim_question2_x_question1_1D (1D) (corr = 0.3003687630268351)
[2017-05-07 23:27:09,435] INFO: Drop: CharDistribution_CosineSim_question2_x_question2_1D (1D) (abs corr = 0.004940251050169467, < threshold = 0.05)
[2017-05-07 23:27:09,562] INFO: Drop: CharDistribution_KL_question1_x_question1_1D (1D) (abs corr = 0.0, < threshold = 0.05)
[2017-05-07 23:27:09,666] INFO: Combine   3/218 feat: CharDistribution_KL_question1_x_question2_1D (1D) (corr = -0.3275446955714963)
[2017-05-07 23:27:09,795] INFO: Combine   4/218 feat: CharDistribution_KL_question2_x_question1_1D (1D) (corr = -0.3264277424286226)
[2017-05-07 23:27:09,905] INFO: Drop: CharDistribution_KL_question2_x_question2_1D (1D) (abs corr = 0.0, < threshold = 0.05)
[2017-05-07 23:27:17,740] INFO: Combine   5/218 feat: CharDistribution_Ratio_question1_x_question1_26D (26D)
[2017-05-07 23:27:29,531] INFO: Combine   6/218 feat: CharDistribution_Ratio_question1_x_question2_26D (26D)
[2017-05-07 23:27:56,755] INFO: Combine   7/218 feat: CharDistribution_Ratio_question2_x_question1_26D (26D)
[2017-05-07 23:29:13,691] INFO: Combine   8/218 feat: CharDistribution_Ratio_question2_x_question2_26D (26D)
[2017-05-07 23:29:13,931] INFO: Combine   9/218 feat: CooccurrenceCount_Bigram_question1_x_question2_1D (1D) (corr = 0.3167326462322128)
[2017-05-07 23:29:14,083] INFO: Combine  10/218 feat: CooccurrenceCount_Bigram_question2_x_question1_1D (1D) (corr = 0.3167326462322128)
[2017-05-07 23:29:14,240] INFO: Combine  11/218 feat: CooccurrenceCount_Trigram_question1_x_question2_1D (1D) (corr = 0.2595419614146898)
[2017-05-07 23:29:14,403] INFO: Combine  12/218 feat: CooccurrenceCount_Trigram_question2_x_question1_1D (1D) (corr = 0.2595419614146898)
